Filename,Camera View,Activity Type,Start Time,End Time,Label (Primary),Appearance Block
Dashboard_user_id_87903_5,Dashboard,Distracted Behavior,00:00:09,00:00:14,Class 7,None
Dashboard_user_id_87903_5,Dashboard,Distracted Behavior,00:00:30,00:00:48,Class 12,None
Dashboard_user_id_87903_5,Dashboard,Distracted Behavior,00:01:03,00:01:19,Class 0,None
Dashboard_user_id_87903_5,Dashboard,Distracted Behavior,00:01:42,00:01:48,Class 2,None
Dashboard_user_id_87903_5,Dashboard,Distracted Behavior,00:02:08,00:02:24,Class 4,None
Dashboard_user_id_87903_5,Dashboard,Distracted Behavior,00:02:43,00:02:51,Class 3,None
Dashboard_user_id_87903_5,Dashboard,Distracted Behavior,00:03:06,00:03:09,Class 13,None
Dashboard_user_id_87903_5,Dashboard,Distracted Behavior,00:03:38,00:03:52,Class 15,None
Dashboard_user_id_87903_5,Dashboard,Distracted Behavior,00:04:09,00:04:12,Class 9,None
Dashboard_user_id_87903_5,Dashboard,Distracted Behavior,00:04:31,00:04:32,Class 1,None
Dashboard_user_id_87903_5,Dashboard,Distracted Behavior,00:05:03,00:05:12,Class 6,None
Dashboard_user_id_87903_5,Dashboard,Distracted Behavior,00:05:24,00:05:39,Class 14,None
Dashboard_user_id_87903_5,Dashboard,Distracted Behavior,00:05:56,00:05:59,Class 10,None
Dashboard_user_id_87903_5,Dashboard,Distracted Behavior,00:06:28,00:06:44,Class 11,None
Dashboard_user_id_87903_5,Dashboard,Distracted Behavior,00:06:59,00:07:16,Class 5,None
Dashboard_user_id_87903_5,Dashboard,Distracted Behavior,00:07:33,00:07:38,Class 8,None
Dashboard_user_id_87903_7,Dashboard,Distracted Behavior,00:00:09,00:00:13,Class 7,Sunglasses
Dashboard_user_id_87903_7,Dashboard,Distracted Behavior,00:00:30,00:00:45,Class 12,Sunglasses
Dashboard_user_id_87903_7,Dashboard,Distracted Behavior,00:01:03,00:01:13,Class 0,Sunglasses
Dashboard_user_id_87903_7,Dashboard,Distracted Behavior,00:01:31,00:01:42,Class 2,Sunglasses
Dashboard_user_id_87903_7,Dashboard,Distracted Behavior,00:02:01,00:02:11,Class 4,Sunglasses
